start,end,ido seconds,ido data points,up/down,side,yoav on top,ido on top,ido speed,yoavc speed,yoav c speed new,ido heading,yoavc heading,ido vmg,yoavc vmg,,,,,,,,,
Tue 7 Mar 2023 12:46:21,Tue 7 Mar 2023 12:47:43,82,32,DOWN,Right,61.4,38.6,20.5,22,22.,288.3,164.4,-12.6,-17.6,,,,,,,,,
Tue 7 Mar 2023 12:47:43,Tue 7 Mar 2023 12:48:47,64,25,DOWN,Left,93.8,6.2,17.2,20.8,20.8,195.3,252.1,-12.2,-11.9,,,,,,,,,
Tue 7 Mar 2023 12:49:36,Tue 7 Mar 2023 12:52:21,165,46,UP,Right,47.6,52.4,15.7,15.3,15.3,80.8,82.8,4.8,5.5,,,,,,,,,
Tue 7 Mar 2023 12:53:06,Tue 7 Mar 2023 12:57:12,246,78,UP,Left,57.3,42.7,17.4,,17.2,126.6,,5.6,,,,,,,,,,
Tue 7 Mar 2023 12:57:12,Tue 7 Mar 2023 12:58:34,82,33,UP,Right,47.6,52.4,15.8,16.2,16.2,283.3,89.9,-0.5,3.6,,,,,,,,,
Tue 7 Mar 2023 12:58:34,Tue 7 Mar 2023 13:00:16,102,36,DOWN,Left,85.4,14.6,19.4,21.5,21.5,152,296.6,1.2,5.4,,,,,,,,,
Tue 7 Mar 2023 13:05:45,Tue 7 Mar 2023 13:34:38,1733,85,UP,Left,50.7,49.3,17.2,,12.2,124.1,,6.2,,,,,,,,,,
Tue 7 Mar 2023 13:34:38,Tue 7 Mar 2023 13:35:56,78,23,UP,Right,58.2,41.8,16.3,16.5,16.5,80.7,85.4,4.1,6,,,,,,,,,
Tue 7 Mar 2023 13:35:56,Tue 7 Mar 2023 13:36:17,21,8,UP,Left,63.6,36.4,16.2,16,16.,40.3,318.1,10.8,8.5,,,,,,,,,
Tue 7 Mar 2023 13:47:47,Tue 7 Mar 2023 13:49:05,78,23,DOWN,Right,,,17.3,,,322.9,,-4.7,,,,,,,,,,
Tue 7 Mar 2023 13:51:16,Tue 7 Mar 2023 13:52:30,74,29,DOWN,Left,,,20.1,,,193.2,,-13,,,,,,,,,,
Tue 7 Mar 2023 13:52:30,Tue 7 Mar 2023 13:53:29,59,21,DOWN,Right,,,21.5,,,266.7,,-16.6,,,,,,,,,,
Tue 7 Mar 2023 13:54:27,Tue 7 Mar 2023 13:54:56,29,13,UP,Left,,,16.8,,,212.3,,-2.2,,,,,,,,,,
Tue 7 Mar 2023 13:54:56,Tue 7 Mar 2023 13:55:12,16,6,UP,Right,,,18.5,,,178.5,,1.2,,,,,,,,,,
Tue 7 Mar 2023 13:56:02,Tue 7 Mar 2023 13:58:48,166,48,UP,Left,,,17.4,,,116.8,,8.2,,,,,,,,,,
Tue 7 Mar 2023 13:59:27,Tue 7 Mar 2023 14:00:25,58,18,UP,Right,,,14.8,,,286.8,,-1.2,,,,,,,,,,
Tue 7 Mar 2023 14:00:25,Tue 7 Mar 2023 14:00:40,15,6,UP,Left,,,18.6,,,40.2,,14.4,,,,,,,,,,
Tue 7 Mar 2023 14:00:40,Tue 7 Mar 2023 14:00:48,8,3,UP,Right,,,18.6,,,74.9,,17.9,,,,,,,,,,
Tue 7 Mar 2023 14:02:14,Tue 7 Mar 2023 14:03:23,69,27,DOWN,Left,,,19.2,,,161.6,,-3.7,,,,,,,,,,
Tue 7 Mar 2023 14:17:58,Tue 7 Mar 2023 14:18:56,58,25,DOWN,Left,84.7,15.3,19.1,22.5,22.5,193,253.8,-12.4,-17.5,,,,,,,,,
Tue 7 Mar 2023 14:18:56,Tue 7 Mar 2023 14:20:04,68,30,DOWN,Right,60.9,39.1,23.9,24.1,24.1,270.5,178.6,-19.2,-18.1,,,,,,,,,
Tue 7 Mar 2023 14:20:04,Tue 7 Mar 2023 14:21:05,61,28,DOWN,Left,64.5,35.5,20.6,22.2,22.2,190.8,251.9,-14.3,-17,,,,,,,,,
Tue 7 Mar 2023 14:21:05,Tue 7 Mar 2023 14:22:12,67,27,DOWN,Right,48.5,51.5,23,22.9,22.9,274,166,-16.1,-14.4,,,,,,,,,
Tue 7 Mar 2023 14:23:02,Tue 7 Mar 2023 14:32:45,583,13,DOWN,Left,74.2,25.8,14.5,13.3,13.3,229.3,310,-7.9,7.8,,,,,,,,,
Tue 7 Mar 2023 14:32:45,Tue 7 Mar 2023 14:33:14,29,9,UP,Right,86.7,13.3,16.5,17.5,17.5,74.4,82.5,3.8,11.7,,,,,,,,,
Tue 7 Mar 2023 14:33:14,Tue 7 Mar 2023 14:33:49,35,16,UP,Left,33.3,66.7,17.2,14.8,14.8,118.6,86.9,8.9,8.3,,,,,,,,,
Tue 7 Mar 2023 14:53:12,Tue 7 Mar 2023 14:54:15,63,22,DOWN,Right,48.4,51.6,17.2,15.4,15.4,325.2,151.8,-3.4,-4.3,,,,,,,,,
Tue 7 Mar 2023 14:54:15,Tue 7 Mar 2023 14:55:03,48,21,DOWN,Left,65.3,34.7,20.9,21.8,21.8,187.2,265.2,-11.7,-14.9,,,,,,,,,
Tue 7 Mar 2023 14:55:03,Tue 7 Mar 2023 14:57:27,144,62,DOWN,Right,68.3,31.7,24.2,25.3,25.3,271.4,179,-19.2,-19.8,,,,,,,,,
Tue 7 Mar 2023 14:57:27,Tue 7 Mar 2023 14:58:28,61,29,DOWN,Left,59.7,40.3,22.6,23.1,23.1,190.3,254.5,-15.5,-16.8,,,,,,,,,
